,Tweets,date,source,likes,retweet,image_url
465,"In addition to Florence, # Hurricane # Isaac will pose a threat to the Lesser Antilles and there is an area to watch in the Gulf of Mexico: https://wxch.nl/2Nu76gX pic.twitter.com/G2D05XDmFy",1536578100,https://twitter.com/weatherchannel/status/1039109983214817280,270,193,https://pbs.twimg.com/media/DmukZIjU8AUSs9U.jpg
466,# Hurricane # Florence is rapidly intensifying. Now with 105 mph maximum sustained winds. Expected to become a Cat. 3 hurricane today.pic.twitter.com/XRROCmEhfX,1536570124,https://twitter.com/weatherchannel/status/1039076529458823168,1133,679,https://pbs.twimg.com/media/DmuKjMsWwAAzDdE.jpg
467,Tropical-storm-force winds from Hurricane # Florence are expected to arrive along the Southeast and mid-Atlantic coasts by Thursday morning. Here's the latest forecast: https://wxch.nl/2wX77R8 pic.twitter.com/FnzXYtVslO,1536551139,https://twitter.com/weatherchannel/status/1038996900773552129,1368,908,https://pbs.twimg.com/media/DmtB9lDXoAY6zvy.jpg
468,Tropical storm watches have been issued for most of the Hawaiian Islands ahead of # Olivia. Winds of 40+ mph may arrive as soon as the pre-dawn hours of Tuesday on the Big Island.pic.twitter.com/tu6otyiDsJ,1536549128,https://twitter.com/weatherchannel/status/1038988466015662080,137,81,https://pbs.twimg.com/media/Dms6f0-UcAA5Roy.jpg
469,"As if three active tropical cyclones in the Atlantic weren't enough, the @ NHC_Atlantic is also monitoring two other areas for possible development this week: https://wxch.nl/2wX2FRz pic.twitter.com/RBnDNwq6Sz",1536539249,https://twitter.com/weatherchannel/status/1038947030897438720,378,281,https://pbs.twimg.com/media/DmsUcq7X4AA1Bct.jpg
470,Hurricane # Florence is expected to rapidly intensity into a major hurricane (Category 3 or stronger) by Monday. It will approach the southeastern U.S. coast on Thursday: https://wxch.nl/2oVkcGe pic.twitter.com/u75muzzJr1,1536529116,https://twitter.com/weatherchannel/status/1038904528509304832,352,274,https://pbs.twimg.com/media/Dmrt602X4AYUnQp.jpg
471,"Hurricane Olivia's effects (increasing winds and rainfall, large waves) will begin to be felt by midday Tuesday on the Hawaiian Islands. Details: https://wxch.nl/2CvmOEw pic.twitter.com/j793QWVEFD",1536527920,https://twitter.com/weatherchannel/status/1038899511454773250,120,78,https://pbs.twimg.com/media/DmrplHFVAAACJS4.jpg
472,"Tropical Storm # Isaac is expected to intensify into a hurricane tonight, but should weaken some before reaching the Lesser Antilles Wednesday night into Thursday. # Helene is now a hurricane, but it is no threat to add'l land. Updates on these storms: https://wxch.nl/2MZbiFW pic.twitter.com/MUPrkbCci9",1536526541,https://twitter.com/weatherchannel/status/1038893730529529856,166,130,https://pbs.twimg.com/media/DmrkUL7VAAAftr3.jpg
473,"Hurricane # Florence is taking aim at the East Coast, but uncertainties still remain. We will be LIVE starting 4:00pET with everything you need to know.pic.twitter.com/PE09bq03Bu",1536519519,https://twitter.com/weatherchannel/status/1038864277816451072,466,298,https://pbs.twimg.com/media/DmrJOjxX0AAIu29.jpg
474,Three states declare emergencies to prepare for potential impacts from # Hurricane # Florence: https://wxch.nl/2QeEw1I pic.twitter.com/Jpk6ifHaOb,1536513560,https://twitter.com/weatherchannel/status/1038839281962373123,149,85,https://pbs.twimg.com/media/DmqyiFgVAAAjNSh.jpg
475,JUST IN: # Florence has regained # hurricane strength. Maximum winds now 75 mph.pic.twitter.com/Y1vm23wBbw,1536504449,https://twitter.com/weatherchannel/status/1038801070565281792,506,316,https://pbs.twimg.com/media/DmqQEWAWsAAIiOF.jpg
476,# Typhoon warning issued in # Guam as intensifying # Mangkhut heads for the islands Monday. https://wxch.nl/2Nuwtz9 pic.twitter.com/G34TcgelTF,1536499200,https://twitter.com/weatherchannel/status/1038779053279457281,138,88,https://pbs.twimg.com/media/DmpcJNdUwAABWpH.jpg
477,# Hurricane impacts aren't limited to the coast. # Florence may trigger disastrous inland # flooding. https://wxch.nl/2NuFeJC pic.twitter.com/2rl4jnvWFJ,1536494940,https://twitter.com/weatherchannel/status/1038761184793710592,90,57,https://pbs.twimg.com/media/DmpadJCXcAYJhez.jpg
478,# Florence is expected to rapidly intensify soon and poses a major danger to the Southeast coast later this week: https://wxch.nl/2oQaox0 pic.twitter.com/MsVKN6MDoi,1536491940,https://twitter.com/weatherchannel/status/1038748601864863744,241,198,https://pbs.twimg.com/media/Dmpb4MkUYAAXWlm.jpg
479,Both # Helene and # Isaac are expected to become # hurricanes. One poses a threat to the Lesser Antilles later this week. https://wxch.nl/2wZ86zz pic.twitter.com/xQpDTAWN3x,1536490140,https://twitter.com/weatherchannel/status/1038741051710758912,132,102,https://pbs.twimg.com/media/DmpElOyX4AISOdK.jpg
480,"# Mangkhut, now a typhoon, could rapidly intensify as it approaches Guam and the Mariana Islands on Monday, and may threaten eastern Asia late next weekend: https://wxch.nl/2Qf4J0g pic.twitter.com/lMnuyPl7zW",1536466200,https://twitter.com/weatherchannel/status/1038640640349765633,104,80,https://pbs.twimg.com/media/Dmn5qu3UwAE7c5q.jpg
